Frame | Total(us) | Input(us) | Update(us) | Collision(us) | Render(us) | Build(us) | Flush(us) | Entities
 3600 |    4417.2 |     431.6 |        8.8 |           7.2 |     3711.8 |     256.7 |    3711.7 | 76
 3660 |    4877.0 |     198.1 |       10.8 |           8.8 |     4132.8 |     525.6 |    4132.7 | 77
 3720 |    4755.5 |     148.9 |        8.1 |          19.7 |     4255.1 |     322.8 |    4254.9 | 76
 3780 |    3538.0 |      13.0 |        7.1 |           5.7 |     3264.7 |     246.8 |    3264.6 | 76
 3840 |    2917.0 |      20.0 |       10.7 |           7.9 |     2505.1 |     372.4 |    2504.9 | 75
 3900 |    2891.4 |     212.8 |        7.3 |           5.3 |     2505.2 |     160.2 |    2505.0 | 76
 3960 |    3454.4 |     285.5 |        7.3 |           6.2 |     2941.4 |     213.1 |    2941.1 | 74
 4020 |    2295.1 |     444.1 |        6.7 |           5.5 |     1710.0 |     128.4 |    1709.9 | 74
 4080 |    3124.6 |     134.1 |        6.6 |           5.2 |     2795.1 |     182.5 |    2795.0 | 72
 4140 |    5237.5 |     145.1 |        8.5 |           7.9 |     4706.1 |     369.2 |    4706.0 | 70
 4200 |    5008.6 |     533.4 |        7.2 |           6.2 |     4172.0 |     289.0 |    4171.9 | 70
 4260 |    7074.9 |      28.4 |       17.2 |           7.1 |     6563.2 |     458.0 |    6563.0 | 70
 4320 |    5747.2 |      12.7 |        8.2 |           6.4 |     5337.0 |     382.2 |    5336.7 | 69
 4380 |    5258.9 |      49.7 |        5.8 |           4.8 |     4866.0 |     332.3 |    4865.8 | 69
 4440 |    6109.4 |      72.1 |        7.9 |           6.8 |     5655.8 |     366.1 |    5655.6 | 69
 4500 |    5393.9 |     344.9 |        6.7 |           5.9 |     4725.4 |     310.0 |    4725.2 | 69
 4560 |    3014.2 |      43.7 |        6.4 |           5.5 |     2797.6 |     160.5 |    2797.5 | 68
 4620 |    2919.6 |      43.5 |        6.0 |           4.7 |     2678.7 |     186.2 |    2678.6 | 68
 4680 |    3968.9 |      67.2 |        6.9 |           6.7 |     3669.0 |     218.2 |    3668.8 | 68
 4740 |    2727.9 |      95.7 |        8.1 |           5.7 |     2442.6 |     175.2 |    2442.4 | 67
 4800 |    4583.3 |      54.8 |        8.5 |           6.1 |     4249.0 |     264.4 |    4248.8 | 67
 4860 |    3477.8 |      79.1 |        5.6 |           4.6 |     3227.5 |     160.4 |    3227.3 | 66
 4920 |    3052.1 |      50.5 |        6.2 |           5.2 |     2826.1 |     163.5 |    2825.9 | 65
 4980 |    5671.7 |      27.9 |        7.5 |           7.6 |     5279.8 |     347.8 |    5279.6 | 65
 5040 |    6120.6 |      13.6 |        7.5 |           7.1 |     5739.2 |     352.3 |    5739.0 | 64
 5100 |    3568.0 |       9.5 |        6.0 |           5.8 |     3308.8 |     237.3 |    3308.7 | 63
 5160 |    4630.9 |      13.1 |        5.5 |           5.0 |     4368.0 |     238.9 |    4367.8 | 63
 5220 |    4455.4 |      30.4 |        5.7 |           5.0 |     4155.1 |     258.6 |    4155.0 | 62
 5280 |    5111.8 |      10.0 |        5.8 |           6.0 |     4795.3 |     281.8 |    4795.1 | 62
 5340 |    4856.8 |     232.4 |        6.5 |           6.6 |     4324.1 |     286.6 |    4324.0 | 62
 5400 |    5495.2 |      66.7 |        7.4 |           5.9 |     5104.4 |     310.1 |    5104.4 | 63
 5460 |    5028.0 |      76.8 |        7.0 |           6.4 |     4643.8 |     293.1 |    4643.6 | 62
 5520 |    5039.7 |      83.9 |       13.6 |           5.7 |     4679.6 |     256.3 |    4679.5 | 63
 5580 |    6827.2 |     135.6 |       12.1 |           9.0 |     6266.1 |     403.2 |    6265.9 | 61
 5640 |    6257.7 |      17.6 |        7.8 |           6.8 |     5865.7 |     358.8 |    5865.5 | 60
 5700 |    6344.3 |      11.7 |        8.3 |           6.5 |     5978.7 |     338.2 |    5978.5 | 60
 5760 |    5056.2 |      49.2 |        5.9 |           6.7 |     4685.6 |     308.3 |    4685.3 | 59
 5820 |    5587.8 |      44.1 |        8.0 |           6.0 |     5262.1 |     266.7 |    5261.8 | 59
 5880 |    5218.8 |      48.4 |        7.3 |           7.2 |     4810.1 |     345.1 |    4809.9 | 59
 5940 |    4851.0 |      11.5 |        7.4 |           5.4 |     4540.1 |     286.1 |    4539.9 | 59
 6000 |    6315.0 |      92.9 |        6.8 |           6.0 |     5893.0 |     315.5 |    5892.8 | 59
 6060 |    6023.3 |      79.6 |        7.1 |           6.7 |     5577.8 |     351.3 |    5577.6 | 59
 6120 |    5885.0 |      69.0 |        6.3 |           5.7 |     5499.0 |     304.0 |    5498.9 | 59
 6180 |    5017.1 |      63.7 |        7.2 |           6.5 |     4681.5 |     257.6 |    4681.3 | 60
 6240 |    5120.4 |     149.4 |        6.8 |           6.0 |     4735.9 |     221.5 |    4735.7 | 60
 6300 |    4563.2 |      10.3 |       19.2 |           4.3 |     4379.5 |     149.1 |    4379.4 | 62
 6360 |    4800.7 |      42.9 |        7.3 |           7.0 |     4478.2 |     264.3 |    4478.0 | 62
 6420 |    4896.0 |     181.0 |        8.7 |           8.0 |     4403.6 |     293.5 |    4403.4 | 61
 6480 |    6816.6 |      67.9 |        9.2 |           8.4 |     6376.0 |     354.2 |    6375.7 | 62
 6540 |    2413.0 |      51.3 |        5.6 |           4.9 |     2239.7 |     110.9 |    2239.7 | 62
 6600 |    3590.5 |      84.8 |        5.6 |           4.6 |     3375.1 |     119.8 |    3375.0 | 62
 6660 |    4035.6 |      10.5 |       13.3 |           5.5 |     3827.8 |     177.6 |    3827.7 | 62
 6720 |    4826.7 |      12.4 |        7.4 |           6.4 |     4580.1 |     219.3 |    4580.0 | 63
 6780 |    3920.8 |       8.8 |        7.5 |           5.8 |     3710.9 |     187.0 |    3710.7 | 62
 6840 |    2701.0 |      45.3 |        7.7 |           5.4 |     2520.8 |     121.1 |    2520.6 | 61
 6900 |    3928.8 |      14.3 |        6.5 |           6.5 |     3656.7 |     244.2 |    3656.4 | 62
 6960 |    5865.4 |      13.5 |        7.3 |           7.0 |     5512.3 |     324.3 |    5512.1 | 61
 7020 |    4829.2 |      56.1 |        9.1 |           7.0 |     4477.5 |     278.7 |    4477.3 | 61
 7080 |    3284.7 |       6.4 |        5.6 |           5.0 |     3156.9 |     110.2 |    3156.8 | 62
 7140 |    4831.8 |      26.0 |       11.3 |           7.0 |     4544.1 |     242.2 |    4544.0 | 61
 7200 |    6800.1 |     457.8 |       10.6 |           8.1 |     5994.8 |     327.6 |    5994.7 | 60
 7260 |    5666.7 |     212.0 |       10.8 |           6.9 |     5162.2 |     273.8 |    5162.1 | 59
 7320 |    5206.4 |      10.1 |        7.1 |           7.6 |     4944.8 |     235.7 |    4944.5 | 60
 7380 |    3568.3 |     390.3 |        8.1 |           6.8 |     3011.4 |     151.1 |    3011.2 | 61
 7440 |    5095.2 |     281.0 |       16.7 |          10.6 |     4497.4 |     288.6 |    4497.2 | 58
 7500 |    3633.7 |      26.3 |        6.2 |           6.2 |     3392.2 |     202.0 |    3392.0 | 59
 7560 |    5980.0 |      16.2 |        8.3 |           7.8 |     5660.9 |     286.1 |    5660.6 | 60
 7620 |    4480.1 |     236.5 |        7.4 |           6.6 |     4028.0 |     200.0 |    4027.5 | 58
 7680 |    5194.5 |      71.6 |        6.4 |           6.6 |     4889.5 |     219.5 |    4889.2 | 57
 7740 |    4376.5 |     311.2 |        6.6 |           4.8 |     3884.1 |     169.3 |    3883.9 | 57
 7800 |    3812.1 |     332.2 |        6.3 |           4.9 |     3311.1 |     156.6 |    3310.6 | 57
 7860 |    5010.5 |      12.7 |        6.3 |           4.9 |     4676.6 |     307.0 |    4676.2 | 57
 7920 |    5981.0 |     122.9 |        5.7 |           4.6 |     5670.7 |     176.4 |    5670.6 | 57
 7980 |    4319.5 |     456.2 |        6.0 |           5.6 |     3569.7 |     281.1 |    3569.2 | 57
 8040 |    4632.0 |     236.9 |        6.5 |           5.7 |     4234.3 |     147.9 |    4234.0 | 57
 8100 |    4845.2 |      40.1 |        5.8 |           5.6 |     4481.4 |     311.4 |    4480.7 | 57
 8160 |    4937.8 |      52.6 |        6.5 |           5.4 |     4595.5 |     277.0 |    4595.1 | 57
 8220 |    3490.0 |      35.9 |        7.8 |           6.4 |     3139.4 |     299.9 |    3139.3 | 57
 8280 |    5162.7 |      10.7 |        5.4 |          16.7 |     4846.5 |     282.8 |    4846.3 | 57
 8340 |    3707.1 |     101.9 |        6.1 |           6.3 |     3442.9 |     149.2 |    3442.7 | 57
 8400 |    4829.3 |      60.7 |        6.7 |           6.0 |     4504.7 |     250.4 |    4504.4 | 57
 8460 |    5746.2 |      75.3 |        7.5 |           7.3 |     5370.4 |     284.7 |    5369.9 | 57
 8520 |    4592.9 |     152.9 |        6.7 |           6.4 |     4215.2 |     210.9 |    4215.0 | 57
 8580 |    4917.0 |     577.0 |        9.4 |           5.3 |     4078.0 |     246.4 |    4077.9 | 57
 8640 |    6035.1 |      44.1 |        9.5 |           7.9 |     5602.5 |     370.2 |    5602.4 | 57
 8700 |    6386.4 |      53.9 |        7.1 |           6.5 |     5970.2 |     348.0 |    5970.0 | 57
 8760 |    5531.2 |     668.2 |        7.6 |           5.8 |     4588.8 |     259.9 |    4588.6 | 57
 8820 |    3256.8 |      40.7 |        5.4 |           4.1 |     3031.1 |     174.8 |    3030.9 | 57
 8880 |    5221.3 |      19.8 |        8.1 |           7.0 |     4872.7 |     312.8 |    4872.1 | 57
 8940 |    4384.1 |      13.8 |        8.4 |           7.1 |     4074.2 |     279.8 |    4073.9 | 56

--- SUMMARY ---
Total frames: 8994
Avg frame time: 4837.36 us (4.83736 ms)
Max frame time: 17559.9 us (17.5599 ms)
Avg FPS (compute only): 206.724
